model,best_score,balanced_accuracy_train,balanced_accuracy_test,f1_weighted_train,f1_weighted_test,roc_auc_ovr_weighted_train,roc_auc_ovr_weighted_test,precision_train,precision_test,accuracy_train,accuracy_test
KNN,0.9685496499719916,0.938029375399355,0.9095200871291302,0.9364705489170994,0.9032039428250103,0.9847105252876213,0.9733833624038015,0.9404703618086606,0.9162002982033906,0.9380281690140845,0.9095427435387674
AdaBoost,0.9120074329899965,0.7848873914836031,0.7811220949637254,0.7842788339819867,0.7801140602317557,0.9133571351523846,0.9137223607239418,0.8045331980097117,0.8008896890791138,0.7848798674399338,0.7811464546056991
RF,0.9822504962116941,0.9176068739480034,0.9163336378168532,0.9155510223583695,0.9149226106646795,0.9844520479080017,0.9854890215978114,0.9201477096889357,0.9192879738866597,0.9176056338028169,0.9163353214049039
